ANO,MES,RADIACAO_media_mensal,TEMPERATURA_media_mensal,PRECIPITACAO_mm_mensal_soma,UMIDADE_media_mensal,VENTO_VEL_media_mensal,NDVI_satveg_mensal,Produtividade_Anual
2003,1,358.91516516516515,24.17888888888889,302.8,85.94444444444444,2.1452991452991452,0.72185,4.2
2003,2,418.7088477366255,24.98139880952381,256.0,81.83630952380952,1.9633928571428574,0.5152,4.2
2003,3,404.3215811965812,24.963709677419356,299.0,82.41129032258064,2.157258064516129,0.5659,4.2
2003,4,310.75059101654847,25.49,242.4,78.04722222222222,2.1993055555555556,0.7061,4.2
2003,5,433.4706616729089,25.083310901749666,4.2,71.4293405114401,2.502960969044415,0.5232,4.2
2003,6,393.81172839506166,25.10822873082287,0.0,59.9860529986053,2.389679218967922,0.3481499999999999,4.2
2003,7,403.515873015873,24.54032258064516,0.0,52.60215053763441,2.5748655913978493,0.28305,4.2
2003,8,457.7016742770167,26.031317204301075,0.0,47.62903225806452,2.9521505376344086,0.2742,4.2
2003,9,284.459219858156,26.435416666666665,57.8,60.959722222222226,2.5416666666666665,0.3057499999999999,4.2
2003,10,346.5083632019116,25.88427419354839,196.8,74.80510752688173,2.383736559139785,0.0758,4.2
2003,11,385.0742574257426,25.444444444444443,370.8,77.83472222222223,2.3533333333333335,0.5999,4.2
2003,12,452.71452145214516,25.600403225806453,370.0,79.61290322580645,2.0904569892473117,0.8246500000000001,4.2
2004,1,362.65453834115806,24.73192934782609,468.6,85.6413043478261,2.405163043478261,0.6723,3.5
2004,2,343.8492063492063,24.599560439560438,411.0,85.65274725274725,2.058021978021978,0.09795,3.5
2004,3,354.44444444444446,25.935752688172045,309.8,78.94220430107526,2.1631720430107526,0.5672,3.5
2004,4,338.3390022675737,25.623783031988875,98.2,79.77746870653685,2.0954102920723225,0.6553500000000001,3.5
2004,5,405.6067961165049,24.652419354838713,71.2,74.93951612903226,1.0647849462365593,0.4467,3.5
2004,6,484.0667915106117,24.07579972183588,0.0,63.791376912378304,0.0,0.3349999999999999,3.5
2004,7,385.4917417417417,24.207277628032344,30.0,60.65768194070081,0.0,0.3189,3.5
2004,8,435.281746031746,25.844594594594593,0.2,49.48243243243243,0.0,0.2954,3.5
2004,9,375.2270299145299,26.760563380281692,26.000000000000004,55.18732394366197,0.0,0.3319,3.5
2004,10,305.15555555555557,26.27125340599455,102.2,72.41008174386921,0.00027247956403269756,0.3831,3.5
2004,11,396.21966794380586,25.767784256559768,0.0,76.51166180758017,0.0,0.7302,3.5
2004,12,432.21326164874546,25.205135135135134,0.0,80.25540540540541,0.00013513513513513514,0.6068,3.5
2005,1,394.540072859745,24.99719350073855,0.0,83.34121122599704,0.00014771048744460858,0.6285000000000001,3.5
2005,2,378.6941580756014,25.66976,0.0,80.6944,0.00016,0.38515,3.5
2005,3,444.8975409836066,24.873197278911565,0.0,85.14693877551021,0.0,0.65465,3.5
2005,4,314.85185185185185,25.954277699859748,1.0,74.27910238429172,0.0,0.6950000000000001,3.5
2005,5,464.40821256038646,25.92274143302181,0.0,67.97040498442368,0.0,0.4700499999999999,3.5
2005,6,443.9429012345679,25.515965166908565,0.0,62.43686502177068,0.0,0.3085,3.5
2005,7,374.96031746031747,24.820781032078102,0.0,52.07112970711297,0.0,0.28015,3.5
2005,8,460.4125816993464,26.500138312586444,0.2,44.78423236514523,0.0,0.2649,3.5
2005,9,288.8759086188993,25.70504587155963,0.2,61.10550458715596,0.0,0.31525,3.5
2005,10,284.69644902634593,27.13484626647145,0.0,68.49780380673499,0.0,0.299,3.5
2005,11,4397.074802074802,25.744166666666665,0.0,78.03472222222223,0.0,0.44075,3.5
2005,12,3922.9880765199164,24.552355316285333,0.0,82.94481830417227,0.0,0.6727000000000001,3.5
2006,1,3979.0410789408566,25.22075983717775,0.0,79.10854816824965,0.0,0.7468,4.6
2006,2,3898.694743130227,24.914785373608904,0.0,83.03338632750398,0.0,0.1757,4.6
2006,3,4506.209192439863,25.51811697574893,0.0,79.90156918687589,0.0,0.41545,4.6
2006,4,4201.423814165042,25.01543408360129,174.6,79.45337620578778,0.0,0.19775,4.6
2006,5,5065.929813401187,24.496267190569746,2.0,65.47151277013752,0.0,0.50545,4.6
2006,6,5111.619069912609,25.030801687763717,0.0,57.19268635724332,0.0,0.37195,4.6
2006,7,5143.358790056903,25.22018970189702,0.0,52.140921409214094,0.0,0.2846499999999999,4.6
2006,8,5181.0217717717715,27.113956639566393,6.0,47.68157181571816,0.0032520325203252037,0.2851,4.6
2006,9,4577.136427566807,26.831101813110184,53.800000000000004,59.91073919107392,0.0009762900976290099,0.32055,4.6
2006,10,4415.7982673267325,25.70134770889488,137.8,77.34097035040432,0.00013477088948787063,0.3559,4.6
2006,11,5238.794655414908,26.142083333333332,149.4,73.55833333333334,0.0,0.5621499999999999,4.6
2006,12,4043.86104149262,24.72489270386266,364.2,82.87839771101574,0.0,0.2153,4.6
2007,1,4227.061915887851,25.25611413043478,271.6,82.5,0.0002717391304347826,0.46885,4.4
2007,2,3850.1511226252155,24.797764530551415,541.0,83.2220566318927,0.0008941877794336812,0.19505,4.4
2007,3,5433.621475953566,26.23687752355316,140.6,73.77119784656797,0.0,0.57855,4.4
2007,4,4833.569662594531,26.373699421965316,113.2,74.33526011560694,0.0,0.70875,4.4
2007,5,5209.963946247132,25.572419354838708,20.8,65.27741935483871,1.3938808373590983,0.4478,4.4
2007,6,5274.545997610513,25.81383399209486,3.2,53.43478260869565,2.66699604743083,0.31055,4.4
2007,7,4819.446702800361,24.932921810699586,9.6,54.65157750342936,2.5958847736625517,0.27545,4.4
2007,8,5543.791816009558,25.991363022941968,0.0,44.30634278002699,2.9470985155195684,0.2673,4.4
2007,9,4420.531151306345,27.508055555555554,18.6,49.00277777777778,2.167361111111111,0.26,4.4
2007,10,4469.260840108401,26.409555854643337,169.4,68.65814266487214,2.0407806191117093,0.2337,4.4
2007,11,4796.717948717948,25.82984218077475,159.2,75.55523672883788,2.3195121951219515,0.41295,4.4
2007,12,4495.122489959839,25.00807537012113,374.4,80.1292059219381,2.1006729475100943,0.8022,4.4
2008,1,4055.9406130268203,24.256929347826084,385.4,83.08423913043478,1.999048913043478,0.5669,4.1
2008,2,2211.686507936508,23.381249999999998,104.60000000000001,89.25,2.24375,0.29355,4.1
2008,4,339.7177734375,25.169032258064515,96.2,81.01290322580645,2.0064516129032257,0.69815,4.1
2008,5,346.2913402959095,24.495956873315365,16.2,71.2398921832884,2.4890835579514827,0.52855,4.1
2008,6,390.72331460674155,24.53435754189944,0.0,59.49860335195531,2.5247206703910616,0.3291,4.1
2008,7,411.7044504181601,25.37459677419355,0.0,45.733870967741936,2.4118279569892476,0.2871,4.1
2008,8,457.33735478105456,27.67983870967742,1.2,39.88172043010753,2.4818548387096775,0.2357,4.1
2008,9,413.152529127593,27.44853963838665,60.6,51.794158553546595,2.7869262865090403,0.2398,4.1
2008,10,387.69444444444446,26.87889784946237,202.8,67.31182795698925,2.216801075268817,0.3792,4.1
2008,11,351.66305555555556,25.574011299435032,289.6,79.19350282485875,1.9836158192090396,0.6691,4.1
2008,12,353.8510840108401,24.990000000000002,377.8,81.33150684931506,2.1295890410958904,0.7095,4.1
2009,1,386.5889142567225,25.779076086956525,73.4,77.7038043478261,1.8495923913043477,0.59685,4.8
2009,2,312.1738770685579,25.46226993865031,111.0,78.62730061349693,1.8430981595092024,0.4905,4.8
2009,3,317.65348583877994,25.97455295735901,303.4,78.51031636863824,1.6228335625859698,0.7121999999999999,4.8
2009,4,311.2891573295985,25.915765069551778,169.6,76.95054095826893,1.6400309119010819,0.5962000000000001,4.8
2009,5,337.9366778617408,25.4851332398317,101.2,73.1234221598878,1.2569424964936886,0.50525,4.8
2009,6,359.4657037037037,24.542777777777776,14.0,66.55416666666666,2.2777777777777777,0.32215,4.8
2009,7,407.34882629107983,26.117055393586003,0.0,53.373177842565596,2.16144578313253,0.2739,4.8
2009,8,487.5569444444444,29.226470588235294,0.0,34.8235294117647,2.631818181818182,0.266,4.8
2009,9,461.9003205128205,28.40099750623441,49.8,60.64089775561097,2.2850899742930593,0.3529,4.8
2009,10,504.96932367149753,28.658620689655173,89.2,62.695402298850574,2.1867816091954024,0.2678,4.8
2010,3,39.29960317460318,25.428571428571427,3.0,83.07142857142857,1.6071428571428572,0.54455,5.9
2010,8,366.59852430555554,28.495934959349594,0.0,48.10569105691057,1.5479674796747969,0.2921,5.9
2010,9,363.2903846153846,28.550555555555558,0.0,46.18055555555556,1.9023611111111112,0.2532,5.9
2010,10,395.05803811057433,27.094758064516128,203.6,66.7258064516129,2.099462365591398,0.2723,5.9
2010,11,397.0207818930041,25.689444444444447,209.4,76.10416666666667,2.0038888888888886,0.3843499999999999,5.9
2010,12,370.24267973856206,25.086290322580645,324.4,78.01209677419355,1.7810483870967742,0.78365,5.9
2011,1,338.5253623188406,24.549789029535866,394.0,81.45991561181435,1.8030942334739803,0.6780999999999999,6.2
2011,2,358.1057529610829,24.828125,362.2,79.96875,1.9038690476190478,0.43215,6.2
2011,3,277.36942167577416,24.89945429740791,35.2,81.15825375170532,1.789085948158254,0.37805,6.2
2011,4,347.38599143361046,25.779166666666665,0.0,75.51388888888889,1.3633333333333333,0.62985,6.2
2011,5,379.46057800224463,25.366532258064517,0.0,65.11693548387096,2.3213709677419354,0.5661,6.2
2011,6,398.53520048974593,25.028333333333336,0.0,57.69583333333333,0.7168055555555556,0.3389,6.2
2011,7,424.23655913978496,25.58104838709677,0.0,50.85349462365591,0.0,0.2304,6.2
2011,8,442.031903919835,26.938037634408605,0.0,45.31182795698925,0.0,0.2322,6.2
2011,9,425.7678317703893,28.74652777777778,0.0,45.734722222222224,0.0,0.2552999999999999,6.2
2011,10,372.7614806017419,25.75577956989247,0.0,73.09677419354838,0.00026881720430107527,0.3204,6.2
2011,11,374.4355836849508,25.06027777777778,0.0,78.38194444444444,0.00125,0.2804,6.2
2011,12,358.9658593322386,24.856680731364275,279.4,80.75386779184248,1.4315049226441632,0.45385,6.2
2012,1,307.9545219638243,24.184525547445258,234.6,83.14598540145985,2.0043795620437956,0.60275,7.0
2012,2,325.84906139015726,24.709626436781612,227.4,77.09051724137932,2.0140804597701147,0.46265,7.0
2012,3,383.9718969555035,25.34704301075269,150.2,75.9758064516129,1.7358870967741935,0.3125,7.0
2012,4,360.61613623673924,25.82333333333333,87.0,77.03888888888889,1.5722222222222222,0.5915999999999999,7.0
2012,5,379.08448773448777,25.21048387096774,66.0,70.24462365591398,1.949462365591398,0.5952500000000001,7.0
2012,6,376.3508371385084,25.219444444444445,18.8,64.275,1.9516666666666667,0.46485,7.0
2012,7,417.6035692951016,25.193682795698923,0.0,50.97715053763441,2.1642473118279573,0.31135,7.0
2012,8,451.4330065359477,26.512145748987855,0.0,41.22132253711201,2.683940620782726,0.28235,7.0
2012,9,381.8870511733107,27.910694444444445,98.8,50.50694444444444,1.8627777777777779,0.3231,7.0
2012,10,442.9659904534606,27.6377688172043,133.4,65.14381720430107,1.6594086021505374,0.2368,7.0
2012,11,360.24159544159545,25.612663755458517,261.2,78.32023289665212,1.5167394468704511,0.2997,7.0
2012,12,437.12473794549265,26.805940594059408,52.4,72.55841584158416,1.731089108910891,0.51495,7.0
2013,1,347.1825925925926,26.05090909090909,227.4,78.29494949494949,1.8125252525252527,0.7153499999999999,6.2
2013,2,370.36486697965574,25.675579322638146,259.6,76.26737967914438,1.9311942959001784,0.40615,6.2
