DATA;HORA;RADIACAO;TEMPERATURA
01/01/2025;0000 UTC;;27
01/01/2025;0100 UTC;;25.8
01/01/2025;0200 UTC;;26
01/01/2025;0300 UTC;;25.9
01/01/2025;0400 UTC;;25.5
01/01/2025;0500 UTC;;25.3
01/01/2025;0600 UTC;;25.1
01/01/2025;0700 UTC;;25.2
01/01/2025;0800 UTC;;25
01/01/2025;0900 UTC;;23.9
01/01/2025;1000 UTC;53.4;23.7
01/01/2025;1100 UTC;615.3;24.3
01/01/2025;1200 UTC;1050;24.9
01/01/2025;1300 UTC;1005.8;26.4
01/01/2025;1400 UTC;2547;28.9
01/01/2025;1500 UTC;3235.8;29.4
01/01/2025;1600 UTC;2399.2;31
01/01/2025;1700 UTC;1469.8;29.7
01/01/2025;1800 UTC;;
01/01/2025;1900 UTC;156.5;23.3
01/01/2025;2000 UTC;169.6;24.2
01/01/2025;2100 UTC;213.3;24.5
01/01/2025;2200 UTC;137.1;24.5
01/01/2025;2300 UTC;1.2;24.1
02/01/2025;0000 UTC;;24
02/01/2025;0100 UTC;;23.9
02/01/2025;0200 UTC;;24.4
02/01/2025;0300 UTC;;23.9
02/01/2025;0400 UTC;;23.6
02/01/2025;0500 UTC;;23.3
02/01/2025;0600 UTC;;23.1
02/01/2025;0700 UTC;;23
02/01/2025;0800 UTC;;23.1
02/01/2025;0900 UTC;;23.1
02/01/2025;1000 UTC;24.1;23.3
02/01/2025;1100 UTC;256.8;24
02/01/2025;1200 UTC;305;23.8
02/01/2025;1300 UTC;577.9;24
02/01/2025;1400 UTC;612.7;21.6
02/01/2025;1500 UTC;721.4;22.1
02/01/2025;1600 UTC;742.2;22.4
02/01/2025;1700 UTC;1012;22.7
02/01/2025;1800 UTC;1251;24.1
02/01/2025;1900 UTC;2023.5;26.1
02/01/2025;2000 UTC;1019.6;26.4
02/01/2025;2100 UTC;505.3;25.8
02/01/2025;2200 UTC;153;25.1
02/01/2025;2300 UTC;;24.4
03/01/2025;0000 UTC;;23.8
03/01/2025;0100 UTC;;23.2
03/01/2025;0200 UTC;;22.8
03/01/2025;0300 UTC;;23.1
03/01/2025;0400 UTC;;23.1
03/01/2025;0500 UTC;;22.8
03/01/2025;0600 UTC;;22.8
03/01/2025;0700 UTC;;22.7
03/01/2025;0800 UTC;;22.5
03/01/2025;0900 UTC;;22.4
03/01/2025;1000 UTC;31.4;22.3
03/01/2025;1100 UTC;296.3;23.1
03/01/2025;1200 UTC;670.8;24.3
03/01/2025;1300 UTC;1030.3;25.6
03/01/2025;1400 UTC;1767.1;27.3
03/01/2025;1500 UTC;2326.1;28.6
03/01/2025;1600 UTC;2607;29.4
03/01/2025;1700 UTC;2541.4;30.9
03/01/2025;1800 UTC;2686.1;31.4
03/01/2025;1900 UTC;1870.4;31
03/01/2025;2000 UTC;1181.4;29.4
03/01/2025;2100 UTC;192.9;28.1
03/01/2025;2200 UTC;141.4;27.8
03/01/2025;2300 UTC;0.4;26.4
04/01/2025;0000 UTC;;25.8
04/01/2025;0100 UTC;;25.5
04/01/2025;0200 UTC;;24.9
04/01/2025;0300 UTC;;24.9
04/01/2025;0400 UTC;;24.6
04/01/2025;0500 UTC;;24.4
04/01/2025;0600 UTC;;23.9
04/01/2025;0700 UTC;;23.6
04/01/2025;0800 UTC;;23.5
04/01/2025;0900 UTC;;23.1
04/01/2025;1000 UTC;74.9;23.8
04/01/2025;1100 UTC;408.6;24.5
04/01/2025;1200 UTC;813;25.9
04/01/2025;1300 UTC;1629.9;27.9
04/01/2025;1400 UTC;2463.2;27.9
04/01/2025;1500 UTC;2243.9;29.4
04/01/2025;1600 UTC;2131.5;30
04/01/2025;1700 UTC;2032;29.8
04/01/2025;1800 UTC;2630;32
04/01/2025;1900 UTC;1215.7;28.2
04/01/2025;2000 UTC;412.2;25.1
04/01/2025;2100 UTC;308.1;25
04/01/2025;2200 UTC;133.3;24.9
04/01/2025;2300 UTC;2.7;25
05/01/2025;0000 UTC;;23.5
05/01/2025;0100 UTC;;23.7
05/01/2025;0200 UTC;;23.2
05/01/2025;0300 UTC;;23.4
05/01/2025;0400 UTC;;23.5
05/01/2025;0500 UTC;0.1;23
05/01/2025;0600 UTC;;22.7
05/01/2025;0700 UTC;;22.2
05/01/2025;0800 UTC;;22
05/01/2025;0900 UTC;;22
05/01/2025;1000 UTC;52.4;22
05/01/2025;1100 UTC;417.8;22.7
05/01/2025;1200 UTC;1109.4;25.1
05/01/2025;1300 UTC;2005.5;26.5
05/01/2025;1400 UTC;2835.4;27.6
05/01/2025;1500 UTC;3542.3;29
05/01/2025;1600 UTC;3297.9;29.6
05/01/2025;1700 UTC;3093;29.7
05/01/2025;1800 UTC;2529.9;31
05/01/2025;1900 UTC;785.4;24.8
05/01/2025;2000 UTC;469.4;25
05/01/2025;2100 UTC;196.8;24.3
05/01/2025;2200 UTC;134;24.5
05/01/2025;2300 UTC;0.4;24.6
06/01/2025;0000 UTC;;24.5
06/01/2025;0100 UTC;;24.7
06/01/2025;0200 UTC;;24
06/01/2025;0300 UTC;;24.3
06/01/2025;0400 UTC;;24.3
06/01/2025;0500 UTC;;23.9
06/01/2025;0600 UTC;;23.9
06/01/2025;0700 UTC;;23.8
06/01/2025;0800 UTC;;23.2
06/01/2025;0900 UTC;;23
06/01/2025;1000 UTC;28.3;23
06/01/2025;1100 UTC;219.1;23.4
06/01/2025;1200 UTC;594.8;24
06/01/2025;1300 UTC;867.9;25.1
06/01/2025;1400 UTC;1135.7;25.9
06/01/2025;1500 UTC;2292.8;27.7
06/01/2025;1600 UTC;2853.9;28.7
06/01/2025;1700 UTC;2727.1;29.9
06/01/2025;1800 UTC;2929.6;30.9
06/01/2025;1900 UTC;1960.5;30.5
06/01/2025;2000 UTC;1524.7;28.2
06/01/2025;2100 UTC;1312.1;26.3
06/01/2025;2200 UTC;365.3;26.1
06/01/2025;2300 UTC;2.9;25.6
07/01/2025;0000 UTC;;25.2
07/01/2025;0100 UTC;;25.1
