DATA;HORA;RADIACAO;TEMPERATURA
01/01/2019;0000 UTC;;22.8
01/01/2019;0100 UTC;;22.4
01/01/2019;0200 UTC;;22.1
01/01/2019;0300 UTC;;22.1
01/01/2019;0400 UTC;;21.4
01/01/2019;0500 UTC;;21.7
01/01/2019;0600 UTC;;21.8
01/01/2019;0700 UTC;;21.7
01/01/2019;0800 UTC;;21.7
01/01/2019;0900 UTC;;21.7
01/01/2019;1000 UTC;4.5;21.4
01/01/2019;1100 UTC;21.4;21.5
01/01/2019;1200 UTC;114.6;21.4
01/01/2019;1300 UTC;267.6;21.1
01/01/2019;1400 UTC;796.4;22.1
01/01/2019;1500 UTC;878.4;22.1
01/01/2019;1600 UTC;1771.1;23.6
01/01/2019;1700 UTC;1851.5;25.9
01/01/2019;1800 UTC;2081.9;27.3
01/01/2019;1900 UTC;2694.5;27.8
01/01/2019;2000 UTC;2025.9;28.8
01/01/2019;2100 UTC;923.4;27.6
01/01/2019;2200 UTC;309.1;24.9
01/01/2019;2300 UTC;;24
02/01/2019;0000 UTC;;23.5
02/01/2019;0100 UTC;;23
02/01/2019;0200 UTC;;22.5
02/01/2019;0300 UTC;;21.9
02/01/2019;0400 UTC;;21.8
02/01/2019;0500 UTC;;21.7
02/01/2019;0600 UTC;;21.6
02/01/2019;0700 UTC;;21
02/01/2019;0800 UTC;;21.2
02/01/2019;0900 UTC;;21.5
02/01/2019;1000 UTC;62.5;21.8
02/01/2019;1100 UTC;470;23.5
02/01/2019;1200 UTC;720.6;25.2
02/01/2019;1300 UTC;1552.7;26.7
02/01/2019;1400 UTC;2181;28.3
02/01/2019;1500 UTC;2852.9;29.6
02/01/2019;1600 UTC;3453.7;30.7
02/01/2019;1700 UTC;3273;31.6
02/01/2019;1800 UTC;1180;25.2
02/01/2019;1900 UTC;298.6;25.1
02/01/2019;2000 UTC;597.8;26.8
02/01/2019;2100 UTC;1201.3;27.9
02/01/2019;2200 UTC;240.4;25.9
02/01/2019;2300 UTC;;25.2
03/01/2019;0000 UTC;;24.3
03/01/2019;0100 UTC;;23.5
03/01/2019;0200 UTC;;23
03/01/2019;0300 UTC;;22.6
03/01/2019;0400 UTC;;22.2
03/01/2019;0500 UTC;;21.9
03/01/2019;0600 UTC;;21.8
03/01/2019;0700 UTC;;21.8
03/01/2019;0800 UTC;;21.1
03/01/2019;0900 UTC;;21.3
03/01/2019;1000 UTC;47.7;22
03/01/2019;1100 UTC;323.8;23.4
03/01/2019;1200 UTC;1224.7;26.3
03/01/2019;1300 UTC;2315;29.1
03/01/2019;1400 UTC;2843.9;29.9
03/01/2019;1500 UTC;3294.1;31.6
03/01/2019;1600 UTC;3158.3;31.9
03/01/2019;1700 UTC;3336.8;32.4
03/01/2019;1800 UTC;2674.7;32.1
03/01/2019;1900 UTC;2279.8;32.9
03/01/2019;2000 UTC;1656.6;32.1
03/01/2019;2100 UTC;851.9;31.6
03/01/2019;2200 UTC;249.4;29.9
03/01/2019;2300 UTC;0.6;27.6
04/01/2019;0000 UTC;;27.2
04/01/2019;0100 UTC;;26.4
04/01/2019;0200 UTC;;26.4
04/01/2019;0300 UTC;;25.6
04/01/2019;0400 UTC;;24.3
04/01/2019;0500 UTC;;24.2
04/01/2019;0600 UTC;;24.4
04/01/2019;0700 UTC;;23.4
04/01/2019;0800 UTC;;22.9
04/01/2019;0900 UTC;0.9;21.4
04/01/2019;1000 UTC;53.3;21.7
04/01/2019;1100 UTC;127.1;22.3
04/01/2019;1200 UTC;1355.7;24.4
04/01/2019;1300 UTC;2147.7;27.3
04/01/2019;1400 UTC;2891.2;30.3
04/01/2019;1500 UTC;2728.5;29.5
04/01/2019;1600 UTC;2296;30.1
04/01/2019;1700 UTC;1541.6;30.1
04/01/2019;1800 UTC;878.3;24.7
04/01/2019;1900 UTC;59.6;22.6
04/01/2019;2000 UTC;266.7;23.1
04/01/2019;2100 UTC;426.7;24.2
04/01/2019;2200 UTC;188;23.6
04/01/2019;2300 UTC;5.9;23.8
05/01/2019;0000 UTC;;23.9
05/01/2019;0100 UTC;;23.9
05/01/2019;0200 UTC;;23.8
05/01/2019;0300 UTC;;23.5
05/01/2019;0400 UTC;;22.7
05/01/2019;0500 UTC;;22.8
05/01/2019;0600 UTC;;22.5
05/01/2019;0700 UTC;;22.2
05/01/2019;0800 UTC;;22.3
05/01/2019;0900 UTC;;22
05/01/2019;1000 UTC;39.3;22.3
05/01/2019;1100 UTC;421.6;24.1
05/01/2019;1200 UTC;869.8;25.3
05/01/2019;1300 UTC;1461.1;27.4
05/01/2019;1400 UTC;2229.7;29.1
05/01/2019;1500 UTC;3030.3;30.4
05/01/2019;1600 UTC;2555.6;30.6
05/01/2019;1700 UTC;541.2;23.5
05/01/2019;1800 UTC;404.3;22.9
05/01/2019;1900 UTC;157;23.2
05/01/2019;2000 UTC;180.3;23.7
05/01/2019;2100 UTC;101.4;23.7
05/01/2019;2200 UTC;64.8;23.4
05/01/2019;2300 UTC;;22.8
06/01/2019;0000 UTC;;22.6
06/01/2019;0100 UTC;;22.4
06/01/2019;0200 UTC;;22.4
06/01/2019;0300 UTC;;22.4
06/01/2019;0400 UTC;;22.3
06/01/2019;0500 UTC;;22.1
06/01/2019;0600 UTC;;22.1
06/01/2019;0700 UTC;;22.1
06/01/2019;0800 UTC;;21.9
06/01/2019;0900 UTC;;21.9
06/01/2019;1000 UTC;42.5;21.9
06/01/2019;1100 UTC;257.8;22.6
06/01/2019;1200 UTC;656;23.8
06/01/2019;1300 UTC;1394.6;25.4
06/01/2019;1400 UTC;1786.9;27.1
06/01/2019;1500 UTC;2372.5;28.7
06/01/2019;1600 UTC;2785.7;29.6
