Data;NDVI;PreFiltro;FlatBottom
26/06/2006;0,3518;0,3518;0,3518
12/07/2006;0,2803;0,2803;0,289
28/07/2006;0,289;0,289;0,289
13/08/2006;0,293;0,293;0,293
29/08/2006;0,2772;0,2772;0,293
14/09/2006;0,3105;0,3105;0,3105
30/09/2006;0,3306;0,3306;0,3306
16/10/2006;0,3559;0,3886;0,3886
01/11/2006;0,4467;0,4467;0,4467
17/11/2006;0,6776;0,5413;0,5413
03/12/2006;-0,3;0,636;0,636
19/12/2006;0,7306;0,7306;0,7306
01/01/2007;0,4027;0,6229;0,6229
17/01/2007;0,535;0,5152;0,5152
02/02/2007;0,0903;0,4075;0,4075
18/02/2007;0,2998;0,2998;0,4075
06/03/2007;0,5673;0,5673;0,5673
22/03/2007;0,5898;0,5898;0,5898
07/04/2007;0,7315;0,7315;0,7315
23/04/2007;0,686;0,686;0,686
09/05/2007;0,4575;0,4575;0,4575
25/05/2007;0,4381;0,4381;0,4381
10/06/2007;0,3216;0,3216;0,3216
26/06/2007;0,2995;0,2995;0,2995
12/07/2007;0,27;0,27;0,27
28/07/2007;0,2809;0,2809;0,2809
13/08/2007;0,2569;0,2569;0,2569
29/08/2007;0,2777;0,2777;0,2777
14/09/2007;0,2627;0,2627;0,2627
30/09/2007;0,2573;0,2573;0,2573
16/10/2007;0,2337;0,2337;0,2573
01/11/2007;0,3924;0,3924;0,3924
17/11/2007;0,4335;0,4335;0,4335
03/12/2007;0,7661;0,7661;0,7661
19/12/2007;0,8383;0,8383;0,8383
01/01/2008;0,8383;0,8383;0,8383
17/01/2008;0,2955;0,8121;0,8121
02/02/2008;0,3811;0,7859;0,7859
18/02/2008;0,206;0,7598;0,7598
05/03/2008;0,5032;0,7336;0,7336
21/03/2008;0,3483;0,7074;0,7074
06/04/2008;0,6812;0,6812;0,6812
22/04/2008;0,7151;0,7151;0,7151
08/05/2008;0,628;0,628;0,628
24/05/2008;0,4291;0,4291;0,4291
09/06/2008;0,3335;0,3335;0,3335
25/06/2008;0,3247;0,3247;0,3247
11/07/2008;0,3177;0,3177;0,3177
27/07/2008;0,2565;0,2565;0,2565
12/08/2008;0,2357;0,2357;0,2357
28/08/2008;0,2357;0,2357;0,2357
13/09/2008;0,247;0,247;0,247
29/09/2008;0,2326;0,2326;0,247
15/10/2008;0,3292;0,3292;0,3292
31/10/2008;0,4292;0,4292;0,4292
16/11/2008;0,6691;0,5902;0,5902
02/12/2008;0,7513;0,7513;0,7513
18/12/2008;0,6677;0,6677;0,6677
01/01/2009;0,6677;0,6677;0,6677
17/01/2009;0,526;0,6377;0,6377
02/02/2009;0,4033;0,6077;0,6077
18/02/2009;0,5777;0,5777;0,6077
06/03/2009;0,6666;0,6678;0,6678
22/03/2009;0,7578;0,7578;0,7578
07/04/2009;0,6963;0,6963;0,6963
23/04/2009;0,4961;0,4961;0,6158
09/05/2009;0,6158;0,6158;0,6158
25/05/2009;0,3947;0,3947;0,3947
10/06/2009;0,3547;0,3547;0,3547
26/06/2009;0,2896;0,2896;0,2896
12/07/2009;0,2724;0,2724;0,2724
28/07/2009;0,2754;0,2754;0,2754
13/08/2009;0,2558;0,2558;0,2558
29/08/2009;0,2762;0,2762;0,2762
14/09/2009;0,3568;0,3568;0,3568
30/09/2009;0,349;0,349;0,349
16/10/2009;0,2678;0,3567;0,3567
01/11/2009;0,1412;0,3643;0,3643
17/11/2009;0,372;0,372;0,372
03/12/2009;0,8201;0,8201;0,8201
19/12/2009;0,7297;0,7297;0,7297
01/01/2010;0,5911;0,5911;0,6903
17/01/2010;0,6903;0,6903;0,6903
02/02/2010;0,6396;0,6396;0,6396
18/02/2010;0,3316;0,3316;0,6097
06/03/2010;0,6097;0,6097;0,6097
22/03/2010;0,4794;0,6188;0,6188
07/04/2010;0,6279;0,6279;0,6279
23/04/2010;0,5729;0,5729;0,5729
09/05/2010;0,4858;0,4858;0,4858
25/05/2010;0,3731;0,3731;0,3731
10/06/2010;0,3432;0,3432;0,3432
26/06/2010;0,294;0,294;0,3083
12/07/2010;0,3083;0,3083;0,3083
28/07/2010;0,256;0,256;0,3053
13/08/2010;0,3053;0,3053;0,3053
29/08/2010;0,2789;0,2789;0,2789
14/09/2010;0,2901;0,2901;0,2901
30/09/2010;0,2163;0,2163;0,2723
16/10/2010;0,2723;0,2723;0,2723
01/11/2010;0,3717;0,3347;0,3347
17/11/2010;0,397;0,397;0,397
03/12/2010;0,7702;0,7702;0,7702
19/12/2010;0,7971;0,7971;0,7971
01/01/2011;0,5575;0,7979;0,7979
17/01/2011;0,7987;0,7987;0,7987
02/02/2011;0,5683;0,7712;0,7712
18/02/2011;0,296;0,7437;0,7437
06/03/2011;0,217;0,7163;0,7163
22/03/2011;0,5391;0,6888;0,6888
07/04/2011;0,6613;0,6613;0,6613
23/04/2011;0,5984;0,5984;0,5984
09/05/2011;0,6275;0,6275;0,6275
25/05/2011;0,5047;0,5047;0,5047
10/06/2011;0,4151;0,4151;0,4151
26/06/2011;0,2627;0,2627;0,2627
12/07/2011;0,2426;0,2426;0,2426
28/07/2011;0,2182;0,2182;0,2426
13/08/2011;0,2442;0,2442;0,2442
29/08/2011;0,2202;0,2202;0,2202
14/09/2011;0,2211;0,2211;0,2211
30/09/2011;0,2895;0,2895;0,2895
16/10/2011;0,3204;0,3204;0,3204
01/11/2011;0,1284;0,3808;0,3808
17/11/2011;0,4324;0,4412;0,4412
03/12/2011;0,4465;0,5016;0,5016
19/12/2011;0,4612;0,562;0,562
01/01/2012;0,5227;0,6224;0,6224
17/01/2012;0,6828;0,6828;0,6828
02/02/2012;0,6322;0,6322;0,6322
18/02/2012;0,2931;0,5272;0,5272
05/03/2012;0,3079;0,4221;0,4221
21/03/2012;0,3171;0,3171;0,4221
06/04/2012;0,6365;0,6365;0,6365
22/04/2012;0,5467;0,5467;0,6365
08/05/2012;0,6762;0,6762;0,6762
24/05/2012;0,5143;0,5143;0,5143
09/06/2012;0,4575;0,4575;0,4722
25/06/2012;0,4722;0,4722;0,4722
11/07/2012;0,3387;0,3387;0,3387
27/07/2012;0,284;0,284;0,284
12/08/2012;0,2695;0,2695;0,2695
28/08/2012;0,2952;0,2952;0,2952
13/09/2012;0,2905;0,2905;0,2952
29/09/2012;0,3557;0,3557;0,3557
15/10/2012;0,2766;0,2766;0,3454
31/10/2012;0,197;0,3454;0,3454
16/11/2012;0,2997;0,4143;0,4143
02/12/2012;0,4831;0,4831;0,4831
18/12/2012;0,5468;0,5468;0,5468
01/01/2013;0,6825;0,6825;0,6825
17/01/2013;0,7482;0,7482;0,7482
02/02/2013;0,3002;0,6301;0,6301
18/02/2013;0,5121;0,5121;0,5121
06/03/2013;0,4258;0,4909;0,4909
22/03/2013;0,3434;0,4698;0,4698
07/04/2013;0,4486;0,4486;0,4486
23/04/2013;0,4827;0,4827;0,4827
09/05/2013;0,5526;0,5526;0,5526
25/05/2013;0,4821;0,4821;0,4821
10/06/2013;0,338;0,338;0,338
26/06/2013;0,2017;0,2017;0,268
12/07/2013;0,268;0,268;0,268
28/07/2013;0,1744;0,1744;0,1873
13/08/2013;0,1873;0,1873;0,1873
29/08/2013;0,1582;0,1582;0,1873
14/09/2013;0,2185;0,2185;0,2185
30/09/2013;0,2059;0,2059;0,2185
16/10/2013;0,3432;0,3432;0,3432
01/11/2013;0,6738;0,6738;0,6738
17/11/2013;0,4744;0,4744;0,6442
03/12/2013;0,572;0,6442;0,6442
19/12/2013;0,8139;0,8139;0,8139
01/01/2014;0,7744;0,7744;0,7744
17/01/2014;0,2893;0,7798;0,7798
02/02/2014;0,2528;0,7851;0,7851
18/02/2014;0,068;0,7905;0,7905
06/03/2014;0,4521;0,7958;0,7958
22/03/2014;0,8012;0,8012;0,8012
07/04/2014;0,4421;0,4421;0,5907
23/04/2014;0,5907;0,5907;0,5907
09/05/2014;0,5361;0,5361;0,5361
25/05/2014;0,3331;0,3331;0,3331
10/06/2014;0,2448;0,2448;0,2448
26/06/2014;0,1822;0,1822;0,2448
12/07/2014;0,275;0,275;0,275
28/07/2014;0,2451;0,2451;0,2451
13/08/2014;0,2039;0,2039;0,2451
29/08/2014;0,2503;0,2503;0,2503
14/09/2014;0,2606;0,2606;0,2606
30/09/2014;0,1938;0,1938;0,2103
16/10/2014;0,2103;0,2103;0,2103
01/11/2014;0,2171;0,2171;0,2171
17/11/2014;0,5826;0,4572;0,4572
03/12/2014;0,6973;0,6973;0,6973
19/12/2014;0,7972;0,7972;0,7972
01/01/2015;0,4045;0,4045;0,4045
17/01/2015;0,273;0,273;0,4045
02/02/2015;0,3799;0,4178;0,4178
18/02/2015;0,5625;0,5625;0,5625
06/03/2015;0,3449;0,3449;0,5625
22/03/2015;0,7061;0,7061;0,7061
07/04/2015;0,4604;0,4604;0,5244
23/04/2015;0,5244;0,5244;0,5244
09/05/2015;0,3729;0,3729;0,4068
25/05/2015;0,4068;0,4068;0,4068
10/06/2015;0,3067;0,3067;0,3067
