DATA;HORA;RADIACAO;TEMPERATURA
01/01/2023;0000 UTC;;23.6
01/01/2023;0100 UTC;;
01/01/2023;0200 UTC;;23.1
01/01/2023;0300 UTC;;22.7
01/01/2023;0400 UTC;;22.5
01/01/2023;0500 UTC;;21.9
01/01/2023;0600 UTC;;21.7
01/01/2023;0700 UTC;;21.5
01/01/2023;0800 UTC;;21.3
01/01/2023;0900 UTC;;21.3
01/01/2023;1000 UTC;99.4;22.1
01/01/2023;1100 UTC;909.4;23.9
01/01/2023;1200 UTC;1561.7;25.2
01/01/2023;1300 UTC;2233.9;27.2
01/01/2023;1400 UTC;2862.4;28.7
01/01/2023;1500 UTC;2875.3;28.6
01/01/2023;1600 UTC;;
01/01/2023;1700 UTC;3289.3;30.3
01/01/2023;1800 UTC;3013;30.4
01/01/2023;1900 UTC;;
01/01/2023;2000 UTC;1394;31.8
01/01/2023;2100 UTC;1185.6;30.6
01/01/2023;2200 UTC;215.3;29.4
01/01/2023;2300 UTC;3;27.3
02/01/2023;0000 UTC;;26.4
02/01/2023;0100 UTC;;26.1
02/01/2023;0200 UTC;;
02/01/2023;0300 UTC;;24.8
02/01/2023;0400 UTC;0.1;22.7
02/01/2023;0500 UTC;;22.7
02/01/2023;0600 UTC;;22.2
02/01/2023;0700 UTC;;
02/01/2023;0800 UTC;;
02/01/2023;0900 UTC;;22.2
02/01/2023;1000 UTC;119.2;23.2
02/01/2023;1100 UTC;839.7;25.6
02/01/2023;1200 UTC;1334.9;26.8
02/01/2023;1300 UTC;1410.1;27.1
02/01/2023;1400 UTC;2423.3;28.1
02/01/2023;1500 UTC;;
02/01/2023;1600 UTC;1181.9;23.1
02/01/2023;1700 UTC;;
02/01/2023;1800 UTC;;
02/01/2023;1900 UTC;450.6;23.8
02/01/2023;2000 UTC;140;23.3
02/01/2023;2100 UTC;57.5;22.2
02/01/2023;2200 UTC;49;21.9
02/01/2023;2300 UTC;0.5;21.8
03/01/2023;0000 UTC;;21.4
03/01/2023;0100 UTC;;21.3
03/01/2023;0200 UTC;;
03/01/2023;0300 UTC;;20.7
03/01/2023;0400 UTC;;20.8
03/01/2023;0500 UTC;;
03/01/2023;0600 UTC;;21.4
03/01/2023;0700 UTC;;21.3
03/01/2023;0800 UTC;;21.5
03/01/2023;0900 UTC;;21.5
03/01/2023;1000 UTC;51.1;21.7
03/01/2023;1100 UTC;301.5;22.3
03/01/2023;1200 UTC;1051.9;23.9
03/01/2023;1300 UTC;;
03/01/2023;1400 UTC;2074.8;26.2
03/01/2023;1500 UTC;3301.6;28.7
03/01/2023;1600 UTC;2381;29.2
03/01/2023;1700 UTC;2514.4;27.5
03/01/2023;1800 UTC;3378.1;29.3
03/01/2023;1900 UTC;2255.1;30.1
03/01/2023;2000 UTC;1593.9;29.3
03/01/2023;2100 UTC;1091.9;28.5
03/01/2023;2200 UTC;329.7;27.8
03/01/2023;2300 UTC;5.2;26.7
04/01/2023;0000 UTC;;26.4
04/01/2023;0100 UTC;;25.7
04/01/2023;0200 UTC;;24.8
04/01/2023;0300 UTC;;24.4
04/01/2023;0400 UTC;;24.4
04/01/2023;0500 UTC;;23
04/01/2023;0600 UTC;;22
04/01/2023;0700 UTC;;22
04/01/2023;0800 UTC;;22.4
04/01/2023;0900 UTC;;22.2
04/01/2023;1000 UTC;18;22.5
04/01/2023;1100 UTC;223.5;22.8
04/01/2023;1200 UTC;544.5;23.6
04/01/2023;1300 UTC;1004.5;24.5
04/01/2023;1400 UTC;1399.3;25.9
04/01/2023;1500 UTC;2876.1;28.4
04/01/2023;1600 UTC;2323.6;28.7
04/01/2023;1700 UTC;1645.2;25.4
04/01/2023;1800 UTC;2071.8;27.3
04/01/2023;1900 UTC;1287.2;26.8
04/01/2023;2000 UTC;2064.9;28.8
04/01/2023;2100 UTC;680;26.9
04/01/2023;2200 UTC;67.5;25.6
04/01/2023;2300 UTC;;24.5
05/01/2023;0000 UTC;;23.7
05/01/2023;0100 UTC;;21.9
05/01/2023;0200 UTC;;22
05/01/2023;0300 UTC;;21.5
05/01/2023;0400 UTC;;21.5
05/01/2023;0500 UTC;;21.4
05/01/2023;0600 UTC;;21.4
05/01/2023;0700 UTC;;21.6
05/01/2023;0800 UTC;;21.1
05/01/2023;0900 UTC;;21
05/01/2023;1000 UTC;3.9;21
05/01/2023;1100 UTC;57.5;21.2
05/01/2023;1200 UTC;225.9;21.7
05/01/2023;1300 UTC;556.1;22.5
05/01/2023;1400 UTC;1204.2;24
05/01/2023;1500 UTC;1934;25.9
05/01/2023;1600 UTC;2469.9;27.3
05/01/2023;1700 UTC;2702.7;28.9
05/01/2023;1800 UTC;2848;29.9
05/01/2023;1900 UTC;2086;26
05/01/2023;2000 UTC;1012.9;25.6
05/01/2023;2100 UTC;727.8;23.6
05/01/2023;2200 UTC;185.5;22.8
05/01/2023;2300 UTC;2.5;23.1
06/01/2023;0000 UTC;;22.8
06/01/2023;0100 UTC;;22.8
06/01/2023;0200 UTC;;22.7
06/01/2023;0300 UTC;;22.8
06/01/2023;0400 UTC;;22.5
06/01/2023;0500 UTC;;22.2
06/01/2023;0600 UTC;0.1;21.9
06/01/2023;0700 UTC;;21.8
06/01/2023;0800 UTC;;21.7
06/01/2023;0900 UTC;;21.9
06/01/2023;1000 UTC;2.8;22
06/01/2023;1100 UTC;56.7;21.8
06/01/2023;1200 UTC;220.6;21.7
06/01/2023;1300 UTC;619.2;22.3
06/01/2023;1400 UTC;1132.3;23.9
06/01/2023;1500 UTC;1166.3;23.5
06/01/2023;1600 UTC;1598.1;25.2
06/01/2023;1700 UTC;1592.2;24.6
06/01/2023;1800 UTC;1946.6;25.9
06/01/2023;1900 UTC;2125.9;27.9
06/01/2023;2000 UTC;1556.5;26.9
06/01/2023;2100 UTC;961.3;24.9
06/01/2023;2200 UTC;275.4;24
06/01/2023;2300 UTC;2.6;23.3
07/01/2023;0000 UTC;;23
07/01/2023;0100 UTC;;22.5
07/01/2023;0200 UTC;;22.6
07/01/2023;0300 UTC;;22.2
07/01/2023;0400 UTC;;22
07/01/2023;0500 UTC;;22
07/01/2023;0600 UTC;;21.9
07/01/2023;0700 UTC;;21.9
07/01/2023;0800 UTC;;22
07/01/2023;0900 UTC;;21.9
07/01/2023;1000 UTC;35.3;22
07/01/2023;1100 UTC;195.8;22.2
07/01/2023;1200 UTC;295.2;22.5
