DATA;HORA;RADIACAO;TEMPERATURA
01/01/2024;0000 UTC;;25.6
01/01/2024;0100 UTC;;25.2
01/01/2024;0200 UTC;;24.7
01/01/2024;0300 UTC;;25
01/01/2024;0400 UTC;;24.6
01/01/2024;0500 UTC;;24.7
01/01/2024;0600 UTC;;24.6
01/01/2024;0700 UTC;;25
01/01/2024;0800 UTC;;25
01/01/2024;0900 UTC;;24.4
01/01/2024;1000 UTC;22.7;24.4
01/01/2024;1100 UTC;282.9;25.1
01/01/2024;1200 UTC;960.7;26.4
01/01/2024;1300 UTC;1003.8;26.9
01/01/2024;1400 UTC;1437.7;28.7
01/01/2024;1500 UTC;3285;27.8
01/01/2024;1600 UTC;3509.1;29.1
01/01/2024;1700 UTC;2614.5;28.6
01/01/2024;1800 UTC;1006.2;27.5
01/01/2024;1900 UTC;276.9;25.2
01/01/2024;2000 UTC;48.4;23.7
01/01/2024;2100 UTC;59.2;24.4
01/01/2024;2200 UTC;39.3;24.1
01/01/2024;2300 UTC;;24
02/01/2024;0000 UTC;;23.1
02/01/2024;0100 UTC;0;22.6
02/01/2024;0200 UTC;;22.9
02/01/2024;0300 UTC;;22.9
02/01/2024;0400 UTC;;22.7
02/01/2024;0500 UTC;;22.6
02/01/2024;0600 UTC;;22.7
02/01/2024;0700 UTC;;22.7
02/01/2024;0800 UTC;;22.6
02/01/2024;0900 UTC;;22.6
02/01/2024;1000 UTC;49.3;22.7
02/01/2024;1100 UTC;339.2;23.2
02/01/2024;1200 UTC;879;24.3
02/01/2024;1300 UTC;1232.9;25.8
02/01/2024;1400 UTC;2453.9;28.6
02/01/2024;1500 UTC;3277.6;29.2
02/01/2024;1600 UTC;2425.3;30.1
02/01/2024;1700 UTC;3095.3;29.8
02/01/2024;1800 UTC;1870;28.8
02/01/2024;1900 UTC;740.2;24.9
02/01/2024;2000 UTC;754.4;27.7
02/01/2024;2100 UTC;278.4;25.8
02/01/2024;2200 UTC;59.5;24.8
02/01/2024;2300 UTC;0.2;24.7
03/01/2024;0000 UTC;;24.6
03/01/2024;0100 UTC;;24.1
03/01/2024;0200 UTC;;23.7
03/01/2024;0300 UTC;;22.9
03/01/2024;0400 UTC;;22.9
03/01/2024;0500 UTC;;23.1
03/01/2024;0600 UTC;;22.9
03/01/2024;0700 UTC;;23
03/01/2024;0800 UTC;;23.1
03/01/2024;0900 UTC;;23.2
03/01/2024;1000 UTC;26.1;23.2
03/01/2024;1100 UTC;212.5;23.5
03/01/2024;1200 UTC;971.9;24.7
03/01/2024;1300 UTC;2095.2;27.2
03/01/2024;1400 UTC;2500.3;27.7
03/01/2024;1500 UTC;1784.5;28.2
03/01/2024;1600 UTC;1917.7;29.6
03/01/2024;1700 UTC;1601.2;26.5
03/01/2024;1800 UTC;1952.8;29.2
03/01/2024;1900 UTC;2530.3;30.4
03/01/2024;2000 UTC;1950.8;30.1
03/01/2024;2100 UTC;960.1;29.2
03/01/2024;2200 UTC;203;28.2
03/01/2024;2300 UTC;;26.2
04/01/2024;0000 UTC;;24.2
04/01/2024;0100 UTC;;23.9
04/01/2024;0200 UTC;;23.5
04/01/2024;0300 UTC;;23.4
04/01/2024;0400 UTC;;23.5
04/01/2024;0500 UTC;;23.6
04/01/2024;0600 UTC;;23.5
04/01/2024;0700 UTC;;23.1
04/01/2024;0800 UTC;;23.1
04/01/2024;0900 UTC;0.3;23.2
04/01/2024;1000 UTC;13.2;23.4
04/01/2024;1100 UTC;175.7;23.7
04/01/2024;1200 UTC;504.4;24.4
04/01/2024;1300 UTC;1566.4;26.4
04/01/2024;1400 UTC;1072.1;25.7
04/01/2024;1500 UTC;1559;27.7
04/01/2024;1600 UTC;3493.2;29.3
04/01/2024;1700 UTC;3183.3;29.5
04/01/2024;1800 UTC;2316.1;31.3
04/01/2024;1900 UTC;2540.1;30.8
04/01/2024;2000 UTC;427.6;23.4
04/01/2024;2100 UTC;75.7;23.8
04/01/2024;2200 UTC;19.2;24.1
04/01/2024;2300 UTC;;24.3
05/01/2024;0000 UTC;;24.2
05/01/2024;0100 UTC;;24.3
05/01/2024;0200 UTC;0.3;24.1
05/01/2024;0300 UTC;0.7;23.9
05/01/2024;0400 UTC;1.3;23.6
05/01/2024;0500 UTC;;23.3
05/01/2024;0600 UTC;;22.9
05/01/2024;0700 UTC;;22.7
05/01/2024;0800 UTC;;22.8
05/01/2024;0900 UTC;;22.8
05/01/2024;1000 UTC;1.2;22.9
05/01/2024;1100 UTC;27.3;22.9
05/01/2024;1200 UTC;126.2;23.2
05/01/2024;1300 UTC;211.3;23.4
05/01/2024;1400 UTC;403.5;23.8
05/01/2024;1500 UTC;497.6;24
05/01/2024;1600 UTC;690.8;24.9
05/01/2024;1700 UTC;773.6;25.9
05/01/2024;1800 UTC;1416.8;26.8
05/01/2024;1900 UTC;963.7;26.7
05/01/2024;2000 UTC;718.6;27
05/01/2024;2100 UTC;297.9;26.2
05/01/2024;2200 UTC;53.8;24.2
05/01/2024;2300 UTC;;23.6
06/01/2024;0000 UTC;;23.5
06/01/2024;0100 UTC;;23.5
06/01/2024;0200 UTC;;23.4
06/01/2024;0300 UTC;;23.4
06/01/2024;0400 UTC;;23
06/01/2024;0500 UTC;;22.8
06/01/2024;0600 UTC;;22.7
06/01/2024;0700 UTC;;22.7
06/01/2024;0800 UTC;;22.7
06/01/2024;0900 UTC;;22.9
06/01/2024;1000 UTC;27.3;23.1
06/01/2024;1100 UTC;195.6;23.4
06/01/2024;1200 UTC;488.1;24.5
06/01/2024;1300 UTC;1857.4;27.2
06/01/2024;1400 UTC;1856.3;27.5
06/01/2024;1500 UTC;2672;28.6
06/01/2024;1600 UTC;3091.5;29
06/01/2024;1700 UTC;2426;30.2
06/01/2024;1800 UTC;2829.3;29.8
06/01/2024;1900 UTC;1525.5;26.3
06/01/2024;2000 UTC;1265.8;27.3
06/01/2024;2100 UTC;379.9;26.1
06/01/2024;2200 UTC;57.5;24.7
06/01/2024;2300 UTC;;24
07/01/2024;0000 UTC;;23.9
07/01/2024;0100 UTC;;23.6
07/01/2024;0200 UTC;;23.9
07/01/2024;0300 UTC;;23.7
07/01/2024;0400 UTC;;23.6
07/01/2024;0500 UTC;;23.5
07/01/2024;0600 UTC;;23.5
07/01/2024;0700 UTC;;
07/01/2024;0800 UTC;;23.6
07/01/2024;0900 UTC;;23.7
07/01/2024;1000 UTC;38.6;23.9
07/01/2024;1100 UTC;244.2;24.3
07/01/2024;1200 UTC;539.9;25.2
07/01/2024;1300 UTC;560;24
07/01/2024;1400 UTC;1282.7;26.1
07/01/2024;1500 UTC;1919;28
07/01/2024;1600 UTC;2004.3;28.2
07/01/2024;1700 UTC;2333.1;27.7
07/01/2024;1800 UTC;2544.2;29.6
07/01/2024;1900 UTC;2398.4;29.4
07/01/2024;2000 UTC;2031.1;30.3
07/01/2024;2100 UTC;1062.1;29.2
07/01/2024;2200 UTC;267.8;29.1
07/01/2024;2300 UTC;7.9;24.6
08/01/2024;0000 UTC;;24.9
08/01/2024;0100 UTC;;24.8
08/01/2024;0200 UTC;;24.3
08/01/2024;0300 UTC;;24.3
08/01/2024;0400 UTC;;23.8
08/01/2024;0500 UTC;;23.5
08/01/2024;0600 UTC;;23.8
08/01/2024;0700 UTC;;23.8
08/01/2024;0800 UTC;;23.7
08/01/2024;0900 UTC;;23.5
08/01/2024;1000 UTC;16.6;23.7
08/01/2024;1100 UTC;186.8;24.1
08/01/2024;1200 UTC;961.4;25.5
08/01/2024;1300 UTC;1034.5;26.1
08/01/2024;1400 UTC;1653.2;27.3
08/01/2024;1500 UTC;1978.9;29.8
08/01/2024;1600 UTC;1639.7;26.5
08/01/2024;1700 UTC;3717.7;30.6
08/01/2024;1800 UTC;3378;30.7
08/01/2024;1900 UTC;2103.7;28.2
08/01/2024;2000 UTC;900.4;28.1
08/01/2024;2100 UTC;658.2;27.9
08/01/2024;2200 UTC;170;27
08/01/2024;2300 UTC;;25.8
09/01/2024;0000 UTC;;24.5
09/01/2024;0100 UTC;;25
09/01/2024;0200 UTC;;24.8
09/01/2024;0300 UTC;;24.7
09/01/2024;0400 UTC;0.1;21.5
09/01/2024;0500 UTC;1.1;20.6
09/01/2024;0600 UTC;;20
09/01/2024;0700 UTC;;20.4
09/01/2024;0800 UTC;;20.4
09/01/2024;0900 UTC;;20.3
09/01/2024;1000 UTC;1.7;20.3
09/01/2024;1100 UTC;54.7;20.7
09/01/2024;1200 UTC;191.7;21.3
09/01/2024;1300 UTC;562.4;22.4
09/01/2024;1400 UTC;1622.7;24.9
09/01/2024;1500 UTC;1264.1;25.4
09/01/2024;1600 UTC;1133.6;25.8
09/01/2024;1700 UTC;1811;26.9
09/01/2024;1800 UTC;3072.4;28.6
09/01/2024;1900 UTC;2565.2;28.5
09/01/2024;2000 UTC;1851.6;28.5
09/01/2024;2100 UTC;990.5;27.8
09/01/2024;2200 UTC;266.2;26.7
09/01/2024;2300 UTC;3;25.8
10/01/2024;0000 UTC;;24.8
10/01/2024;0100 UTC;;24.1
10/01/2024;0200 UTC;;23.8
10/01/2024;0300 UTC;;23.6
10/01/2024;0400 UTC;;23.3
10/01/2024;0500 UTC;;23.2
10/01/2024;0600 UTC;;23.2
10/01/2024;0700 UTC;;23.1
10/01/2024;0800 UTC;;23.1
10/01/2024;0900 UTC;;22.9
10/01/2024;1000 UTC;26.5;23.1
10/01/2024;1100 UTC;193.9;23.6
10/01/2024;1200 UTC;452.8;23.8
10/01/2024;1300 UTC;1669.2;25.6
10/01/2024;1400 UTC;314.1;23.5
10/01/2024;1500 UTC;361.6;24.2
10/01/2024;1600 UTC;649.1;23.7
10/01/2024;1700 UTC;1586.4;26.1
10/01/2024;1800 UTC;2690.3;29
10/01/2024;1900 UTC;1888.1;28.9
10/01/2024;2000 UTC;1491.5;28.6
10/01/2024;2100 UTC;223.9;25
10/01/2024;2200 UTC;83.9;24.3
10/01/2024;2300 UTC;;23.9
11/01/2024;0000 UTC;;24.1
11/01/2024;0100 UTC;;23.7
11/01/2024;0200 UTC;;23.4
11/01/2024;0300 UTC;;23.6
11/01/2024;0400 UTC;;23.4
11/01/2024;0500 UTC;;23.4
11/01/2024;0600 UTC;;23.3
11/01/2024;0700 UTC;;23.3
11/01/2024;0800 UTC;;23.2
11/01/2024;0900 UTC;;23.2
11/01/2024;1000 UTC;10.6;23.2
11/01/2024;1100 UTC;207.7;23.4
11/01/2024;1200 UTC;601.3;24
11/01/2024;1300 UTC;1081.2;25.2
11/01/2024;1400 UTC;1106.3;26.3
11/01/2024;1500 UTC;1565.2;27.4
11/01/2024;1600 UTC;1701.5;28.3
11/01/2024;1700 UTC;1267.5;25.7
11/01/2024;1800 UTC;552.1;24.5
11/01/2024;1900 UTC;371.3;23.9
11/01/2024;2000 UTC;323;23.4
11/01/2024;2100 UTC;191;23.1
11/01/2024;2200 UTC;87.5;23
11/01/2024;2300 UTC;1.4;23
12/01/2024;0000 UTC;;22.7
12/01/2024;0100 UTC;;22.5
12/01/2024;0200 UTC;;22.4
12/01/2024;0300 UTC;;22.3
12/01/2024;0400 UTC;;22.3
12/01/2024;0500 UTC;;22.4
12/01/2024;0600 UTC;;22.4
12/01/2024;0700 UTC;;22.3
12/01/2024;0800 UTC;;22.3
12/01/2024;0900 UTC;;22.4
12/01/2024;1000 UTC;17.6;22.5
12/01/2024;1100 UTC;413.1;23.7
12/01/2024;1200 UTC;1175.7;24.5
12/01/2024;1300 UTC;1260.4;26
12/01/2024;1400 UTC;2045;28.3
12/01/2024;1500 UTC;2867.1;29
12/01/2024;1600 UTC;1791.4;29.4
12/01/2024;1700 UTC;1765.6;24.8
12/01/2024;1800 UTC;2044.9;28.4
12/01/2024;1900 UTC;2629;28.5
12/01/2024;2000 UTC;1403.1;28.1
12/01/2024;2100 UTC;711;26.1
12/01/2024;2200 UTC;120.3;23.4
12/01/2024;2300 UTC;6.9;23.3
13/01/2024;0000 UTC;;23.7
13/01/2024;0100 UTC;;23.8
13/01/2024;0200 UTC;;24
13/01/2024;0300 UTC;;24.3
13/01/2024;0400 UTC;;24.2
13/01/2024;0500 UTC;;23.6
13/01/2024;0600 UTC;;23.5
13/01/2024;0700 UTC;;23.4
13/01/2024;0800 UTC;;23.1
13/01/2024;0900 UTC;;23
13/01/2024;1000 UTC;16.5;23.1
13/01/2024;1100 UTC;411.6;24.4
13/01/2024;1200 UTC;1102.7;25.4
13/01/2024;1300 UTC;1771.5;27.4
13/01/2024;1400 UTC;2569.8;28.8
13/01/2024;1500 UTC;3468.8;30.1
13/01/2024;1600 UTC;2200.9;28.5
13/01/2024;1700 UTC;2080.8;30.9
13/01/2024;1800 UTC;2600.9;30
13/01/2024;1900 UTC;900.4;23.6
13/01/2024;2000 UTC;340.1;24.1
13/01/2024;2100 UTC;230.5;24.9
13/01/2024;2200 UTC;94.6;25.1
13/01/2024;2300 UTC;1.7;24.7
14/01/2024;0000 UTC;;25.1
14/01/2024;0100 UTC;;24.5
14/01/2024;0200 UTC;;25
14/01/2024;0300 UTC;;25.2
14/01/2024;0400 UTC;;24.6
14/01/2024;0500 UTC;;24.3
14/01/2024;0600 UTC;;23.9
14/01/2024;0700 UTC;;23.6
14/01/2024;0800 UTC;;23.5
14/01/2024;0900 UTC;;23.3
14/01/2024;1000 UTC;60.9;23.4
14/01/2024;1100 UTC;516.8;24.1
14/01/2024;1200 UTC;1448;25.8
14/01/2024;1300 UTC;1933.2;27.3
14/01/2024;1400 UTC;2205.8;28.4
14/01/2024;1500 UTC;2861.7;30.3
14/01/2024;1600 UTC;3303;31.1
14/01/2024;1700 UTC;3581.7;31.9
14/01/2024;1800 UTC;3144.1;32.2
14/01/2024;1900 UTC;1241.4;25.8
14/01/2024;2000 UTC;992.7;28.5
14/01/2024;2100 UTC;1227.9;29.8
14/01/2024;2200 UTC;328.5;27.7
14/01/2024;2300 UTC;2.2;26.5
15/01/2024;0000 UTC;;26
15/01/2024;0100 UTC;;25.6
15/01/2024;0200 UTC;;25.4
15/01/2024;0300 UTC;;24.8
15/01/2024;0400 UTC;;24.8
15/01/2024;0500 UTC;;24.4
15/01/2024;0600 UTC;;24.2
15/01/2024;0700 UTC;;23.8
15/01/2024;0800 UTC;;23.7
15/01/2024;0900 UTC;;22.9
15/01/2024;1000 UTC;58.5;23.6
15/01/2024;1100 UTC;643.9;26.1
15/01/2024;1200 UTC;1478.3;27.1
15/01/2024;1300 UTC;2249.4;29.3
15/01/2024;1400 UTC;2816.2;30
15/01/2024;1500 UTC;3458.2;31.7
15/01/2024;1600 UTC;2643.4;32.3
15/01/2024;1700 UTC;2236.9;30.7
15/01/2024;1800 UTC;3111.8;32.8
15/01/2024;1900 UTC;2746.7;33.5
15/01/2024;2000 UTC;2122.1;33.1
15/01/2024;2100 UTC;1283.6;31
15/01/2024;2200 UTC;163.5;29.3
15/01/2024;2300 UTC;0.9;28.6
16/01/2024;0000 UTC;;28.5
16/01/2024;0100 UTC;;27.3
16/01/2024;0200 UTC;;27.3
16/01/2024;0300 UTC;;26.7
16/01/2024;0400 UTC;;26.3
16/01/2024;0500 UTC;;26
16/01/2024;0600 UTC;;25
16/01/2024;0700 UTC;;24.2
16/01/2024;0800 UTC;;24
16/01/2024;0900 UTC;;24
16/01/2024;1000 UTC;48.5;24.1
16/01/2024;1100 UTC;634.7;25.9
16/01/2024;1200 UTC;1454;27.7
16/01/2024;1300 UTC;2234;28.8
16/01/2024;1400 UTC;2820.3;30.5
16/01/2024;1500 UTC;3184;31.9
16/01/2024;1600 UTC;2667.5;32.2
16/01/2024;1700 UTC;2830.9;33.1
16/01/2024;1800 UTC;3257.1;33.1
16/01/2024;1900 UTC;2796.6;33.3
16/01/2024;2000 UTC;2126.7;33.3
16/01/2024;2100 UTC;1336.7;32.9
16/01/2024;2200 UTC;233.8;31.7
16/01/2024;2300 UTC;0.6;30.4
17/01/2024;0000 UTC;;28.5
17/01/2024;0100 UTC;;27.7
17/01/2024;0200 UTC;;27.9
17/01/2024;0300 UTC;;27
17/01/2024;0400 UTC;;26.3
17/01/2024;0500 UTC;;26.6
17/01/2024;0600 UTC;;25.6
17/01/2024;0700 UTC;;24.6
17/01/2024;0800 UTC;;24.8
17/01/2024;0900 UTC;;24.3
17/01/2024;1000 UTC;48.1;25.1
17/01/2024;1100 UTC;646.1;27.1
17/01/2024;1200 UTC;1463.8;28.8
17/01/2024;1300 UTC;2219.4;29.7
17/01/2024;1400 UTC;2746.4;31.4
17/01/2024;1500 UTC;2725.4;32.9
17/01/2024;1600 UTC;2458.8;33.2
17/01/2024;1700 UTC;2121.8;33.3
17/01/2024;1800 UTC;2693.8;34
17/01/2024;1900 UTC;2581.8;34
17/01/2024;2000 UTC;1663.9;33.4
17/01/2024;2100 UTC;1078.5;32.4
17/01/2024;2200 UTC;420.5;29
17/01/2024;2300 UTC;3.9;28.5
18/01/2024;0000 UTC;;27.3
18/01/2024;0100 UTC;;26.4
18/01/2024;0200 UTC;;26
18/01/2024;0300 UTC;;25.1
18/01/2024;0400 UTC;;25
18/01/2024;0500 UTC;;24.8
18/01/2024;0600 UTC;;24.3
18/01/2024;0700 UTC;;24.4
18/01/2024;0800 UTC;1.3;21.4
18/01/2024;0900 UTC;;22
18/01/2024;1000 UTC;55.9;22
18/01/2024;1100 UTC;375.4;23.1
18/01/2024;1200 UTC;1442.5;25.2
18/01/2024;1300 UTC;2248.8;27.5
18/01/2024;1400 UTC;2840.1;28.3
18/01/2024;1500 UTC;3321.4;29.8
18/01/2024;1600 UTC;3512.3;31.4
18/01/2024;1700 UTC;3518.3;32.4
18/01/2024;1800 UTC;3001.7;32.9
18/01/2024;1900 UTC;2026.2;33.5
18/01/2024;2000 UTC;1738.8;32.2
18/01/2024;2100 UTC;1201.7;33
18/01/2024;2200 UTC;360.6;31.5
18/01/2024;2300 UTC;2.2;28.8
19/01/2024;0000 UTC;;27.2
19/01/2024;0100 UTC;;26.3
19/01/2024;0200 UTC;;26
19/01/2024;0300 UTC;;25.6
19/01/2024;0400 UTC;;25.3
19/01/2024;0500 UTC;;24.7
19/01/2024;0600 UTC;;24.5
19/01/2024;0700 UTC;;24.2
19/01/2024;0800 UTC;;24
19/01/2024;0900 UTC;;23.9
19/01/2024;1000 UTC;14.4;23.5
19/01/2024;1100 UTC;413.6;24.1
19/01/2024;1200 UTC;1525.1;25.6
19/01/2024;1300 UTC;2137.3;27.2
19/01/2024;1400 UTC;1550.2;28
19/01/2024;1500 UTC;1835.4;29.3
19/01/2024;1600 UTC;2116.4;29.6
19/01/2024;1700 UTC;2488.8;30.2
19/01/2024;1800 UTC;3233;31.6
19/01/2024;1900 UTC;2032.1;31.6
19/01/2024;2000 UTC;1865.1;32.4
19/01/2024;2100 UTC;1345.6;31.6
19/01/2024;2200 UTC;183.3;27.7
19/01/2024;2300 UTC;6.1;23.4
20/01/2024;0000 UTC;0.1;22.9
20/01/2024;0100 UTC;;23.8
20/01/2024;0200 UTC;;23.4
20/01/2024;0300 UTC;;23.8
20/01/2024;0400 UTC;;24
20/01/2024;0500 UTC;;23.7
20/01/2024;0600 UTC;;23.4
20/01/2024;0700 UTC;;23.4
20/01/2024;0800 UTC;;23.2
20/01/2024;0900 UTC;;22.9
20/01/2024;1000 UTC;30.8;23.1
20/01/2024;1100 UTC;407.4;24.2
20/01/2024;1200 UTC;993.7;26.3
20/01/2024;1300 UTC;1995.7;28.3
20/01/2024;1400 UTC;2533.8;29.8
20/01/2024;1500 UTC;3233.5;32
20/01/2024;1600 UTC;3697.6;32.3
20/01/2024;1700 UTC;3160.9;33.5
20/01/2024;1800 UTC;2650.3;33.6
20/01/2024;1900 UTC;1695.9;30.5
20/01/2024;2000 UTC;710.7;30.9
20/01/2024;2100 UTC;381.8;26.8
20/01/2024;2200 UTC;80.5;27.4
20/01/2024;2300 UTC;0.7;27.2
21/01/2024;0000 UTC;;26.6
21/01/2024;0100 UTC;;26
21/01/2024;0200 UTC;;24.7
21/01/2024;0300 UTC;;24.5
21/01/2024;0400 UTC;;24.5
21/01/2024;0500 UTC;;24.6
21/01/2024;0600 UTC;;24.3
21/01/2024;0700 UTC;;24.4
21/01/2024;0800 UTC;;23.5
21/01/2024;0900 UTC;;23.8
21/01/2024;1000 UTC;17.3;23.9
21/01/2024;1100 UTC;281.4;24.7
21/01/2024;1200 UTC;972.9;27.1
21/01/2024;1300 UTC;1708;29.1
21/01/2024;1400 UTC;2410.8;30.4
21/01/2024;1500 UTC;2440.6;31.1
21/01/2024;1600 UTC;3284;32.9
21/01/2024;1700 UTC;3066.8;29.6
21/01/2024;1800 UTC;2164.2;29.6
21/01/2024;1900 UTC;144.4;25.2
21/01/2024;2000 UTC;329.7;25.3
21/01/2024;2100 UTC;526.9;25.3
21/01/2024;2200 UTC;149.4;25.6
21/01/2024;2300 UTC;4.7;25.2
22/01/2024;0000 UTC;;25.3
22/01/2024;0100 UTC;;25.3
22/01/2024;0200 UTC;;25.3
22/01/2024;0300 UTC;;25
22/01/2024;0400 UTC;;25.1
22/01/2024;0500 UTC;;24.8
22/01/2024;0600 UTC;;24.6
22/01/2024;0700 UTC;;24.7
22/01/2024;0800 UTC;;24.6
22/01/2024;0900 UTC;;24.5
22/01/2024;1000 UTC;18.3;24.6
22/01/2024;1100 UTC;225.7;25.6
22/01/2024;1200 UTC;831.7;26.6
22/01/2024;1300 UTC;937.6;26.6
22/01/2024;1400 UTC;2306.3;30.5
22/01/2024;1500 UTC;3044;31
22/01/2024;1600 UTC;2306.2;31.9
22/01/2024;1700 UTC;3461.5;33.9
22/01/2024;1800 UTC;1828.2;29.2
22/01/2024;1900 UTC;1293.1;28.3
22/01/2024;2000 UTC;2230.1;31.8
22/01/2024;2100 UTC;889.2;31.2
22/01/2024;2200 UTC;261.9;29.8
22/01/2024;2300 UTC;6.4;30
23/01/2024;0000 UTC;;29
23/01/2024;0100 UTC;;27.9
23/01/2024;0200 UTC;;26.3
23/01/2024;0300 UTC;3.1;23.7
23/01/2024;0400 UTC;;23.5
23/01/2024;0500 UTC;;23.5
23/01/2024;0600 UTC;;23
23/01/2024;0700 UTC;;22.8
23/01/2024;0800 UTC;;23
23/01/2024;0900 UTC;;22.9
23/01/2024;1000 UTC;16.7;22.9
23/01/2024;1100 UTC;270;23.4
23/01/2024;1200 UTC;912.7;24.8
23/01/2024;1300 UTC;1870.7;26.6
23/01/2024;1400 UTC;2429.6;28.9
23/01/2024;1500 UTC;2415.1;30.2
23/01/2024;1600 UTC;3168.9;30.7
23/01/2024;1700 UTC;2791.8;31.8
23/01/2024;1800 UTC;2019.3;30
23/01/2024;1900 UTC;2793.9;32.3
23/01/2024;2000 UTC;2081.6;32.8
23/01/2024;2100 UTC;456.6;28.5
23/01/2024;2200 UTC;160.9;28.3
23/01/2024;2300 UTC;1.9;27.3
24/01/2024;0000 UTC;;27
24/01/2024;0100 UTC;;26.6
24/01/2024;0200 UTC;;27.1
24/01/2024;0300 UTC;;25.8
24/01/2024;0400 UTC;;25.5
24/01/2024;0500 UTC;;23.9
24/01/2024;0600 UTC;;24.2
24/01/2024;0700 UTC;;23.4
24/01/2024;0800 UTC;0.2;23.1
24/01/2024;0900 UTC;;23.1
24/01/2024;1000 UTC;1;22.9
24/01/2024;1100 UTC;24.6;22.8
24/01/2024;1200 UTC;72.7;22.8
24/01/2024;1300 UTC;150.1;23
24/01/2024;1400 UTC;568.2;24
24/01/2024;1500 UTC;1167.3;25.2
24/01/2024;1600 UTC;2394.1;28.3
24/01/2024;1700 UTC;2597.9;29.6
24/01/2024;1800 UTC;2256.4;29.9
24/01/2024;1900 UTC;2789.6;29.9
24/01/2024;2000 UTC;2067.3;30.5
24/01/2024;2100 UTC;814.1;29.6
24/01/2024;2200 UTC;271.7;29.3
24/01/2024;2300 UTC;3.6;28.6
25/01/2024;0000 UTC;;27.6
25/01/2024;0100 UTC;;26.8
25/01/2024;0200 UTC;;26.5
25/01/2024;0300 UTC;;26
25/01/2024;0400 UTC;;25.6
25/01/2024;0500 UTC;;25.2
25/01/2024;0600 UTC;;25
25/01/2024;0700 UTC;;24.9
25/01/2024;0800 UTC;;23
25/01/2024;0900 UTC;;22.7
25/01/2024;1000 UTC;1;22.4
25/01/2024;1100 UTC;38.8;22.5
25/01/2024;1200 UTC;303.7;22.7
25/01/2024;1300 UTC;1396.7;24.6
25/01/2024;1400 UTC;2352.4;27.3
25/01/2024;1500 UTC;2966.9;29.1
25/01/2024;1600 UTC;1810.5;28.9
25/01/2024;1700 UTC;2862.6;29.9
25/01/2024;1800 UTC;2187.1;29.5
25/01/2024;1900 UTC;2056.5;29.9
25/01/2024;2000 UTC;465.2;25.4
25/01/2024;2100 UTC;145.2;24.7
25/01/2024;2200 UTC;108.4;24.8
25/01/2024;2300 UTC;6.5;24.8
26/01/2024;0000 UTC;;24.8
26/01/2024;0100 UTC;;25.1
26/01/2024;0200 UTC;;
26/01/2024;0300 UTC;;24.7
26/01/2024;0400 UTC;;24.3
26/01/2024;0500 UTC;;24
26/01/2024;0600 UTC;;24
26/01/2024;0700 UTC;;23.8
26/01/2024;0800 UTC;;23.9
26/01/2024;0900 UTC;;23.9
26/01/2024;1000 UTC;17.5;23.9
26/01/2024;1100 UTC;246.9;24.4
26/01/2024;1200 UTC;838.7;25.5
26/01/2024;1300 UTC;1748.1;27.3
26/01/2024;1400 UTC;2527.6;28.2
26/01/2024;1500 UTC;3137.7;29.8
26/01/2024;1600 UTC;3312.6;30.9
26/01/2024;1700 UTC;3068.4;32.3
26/01/2024;1800 UTC;3056.2;33.1
26/01/2024;1900 UTC;2037.7;32.9
26/01/2024;2000 UTC;1066.2;32.7
26/01/2024;2100 UTC;1166.9;33.5
26/01/2024;2200 UTC;399.2;32.6
26/01/2024;2300 UTC;3;30.8
27/01/2024;0000 UTC;;29.2
27/01/2024;0100 UTC;;28.5
27/01/2024;0200 UTC;;25.8
27/01/2024;0300 UTC;;25.5
27/01/2024;0400 UTC;;25.5
27/01/2024;0500 UTC;;24.1
27/01/2024;0600 UTC;;24.4
27/01/2024;0700 UTC;;23.8
27/01/2024;0800 UTC;;23.8
27/01/2024;0900 UTC;;23.5
27/01/2024;1000 UTC;19;23.5
27/01/2024;1100 UTC;150.8;24
27/01/2024;1200 UTC;582.3;25.5
27/01/2024;1300 UTC;;
27/01/2024;1400 UTC;1683.7;28.6
27/01/2024;1500 UTC;2196.1;29.8
27/01/2024;1600 UTC;3807.6;31.1
27/01/2024;1700 UTC;2056.5;31.1
27/01/2024;1800 UTC;1785.9;30.6
27/01/2024;1900 UTC;1658.1;31.1
27/01/2024;2000 UTC;1374.7;31.6
27/01/2024;2100 UTC;1120.2;31.3
27/01/2024;2200 UTC;303.6;30.2
27/01/2024;2300 UTC;13.3;29.1
28/01/2024;0000 UTC;;27.8
28/01/2024;0100 UTC;;26.5
28/01/2024;0200 UTC;;25.5
28/01/2024;0300 UTC;;24.8
28/01/2024;0400 UTC;;24.2
28/01/2024;0500 UTC;;23.7
28/01/2024;0600 UTC;;23.4
28/01/2024;0700 UTC;;23.7
28/01/2024;0800 UTC;;23.8
28/01/2024;0900 UTC;;23.8
28/01/2024;1000 UTC;6.1;23.9
28/01/2024;1100 UTC;128.6;24.4
28/01/2024;1200 UTC;996.5;26.4
